,nwork_1970s_2021,nwork_2022,medium_1,medium_2,medium_3,medium_4,medium_5,name_raw
0,,,0,0,0,0,0,"Alder, Alison"
1,26,1,0,0,0,0,0,"Allan, Micky"
2,75,3,1,1,0,0,1,"Apuatimi, Jean Baptiste (Pulukatu)"
3,178,5,0,0,0,0,0,"Audette, Yvonne"
5,,,0,0,0,0,0,"(Budden) Phoenix, Frances"
6,,,0,0,0,0,0,"Baas-Backing, Solvig"
7,,,0,0,0,0,0,"Baker, Nyukana"
8,388,3,0,0,0,0,0,"Bale, Alice Marian Ellen"
9,405,10,0,0,0,0,0,"Beckett, Clarice"
10,,,0,0,0,0,0,"Bell, Eugenie Keefer"
11,219,2,0,0,0,0,0,"Bellette, Jean"
12,,,0,0,0,0,0,"Benglis, Lynda"
13,5,1,0,0,0,0,0,"Beynon, Kate"
14,6,3,0,0,0,0,0,"Binns, Vivienne"
15,248,4,0,0,0,0,0,"Black, Dorrit"
16,46,0,0,0,0,0,0,"Blumann, Elise"
17,,,0,0,0,0,0,Boomalli Aboriginal Artists' Co-operative
18,83,6,0,0,0,0,0,"Borgelt, Marion"
19,3,0,0,0,0,0,0,"Borland, Polly"
20,,,0,0,0,0,0,"Bowden, Jane"
21,20,0,0,0,0,0,0,"Bowen, Stella"
22,75,4,0,0,0,0,0,"Boyd, Hermia"
23,,,0,0,0,0,0,"Brady, Freda"
24,,,0,0,0,0,0,"Brassil, Joan"
25,24,2,0,0,0,0,0,"Brassington, Pat"
26,,,0,0,0,0,0,"Brincat, Lauren"
27,51,2,0,0,0,0,0,"Broadhurst, Florence"
28,7,0,0,0,0,0,0,"Broome-Norton, Jean"
29,5,0,0,0,0,0,0,"Burchill, Janet & McCamley, Jennifer"
30,,,0,0,0,0,0,Bush Couture
32,,,0,0,0,0,0,"Calle, Sophie"
33,,,0,0,0,0,0,"Callis, Jo Ann"
34,7,0,0,0,0,0,0,"Campbell, Barbara"
35,253,13,0,0,0,0,0,"Campbell, Cressida"
36,5,2,0,0,0,0,0,"Cardoso, Maria Fernanda"
37,769,8,0,0,0,0,0,"Carrick, Ethel"
38,,,0,0,0,0,0,"Cavaliere, Katthy"
39,,,0,0,0,0,0,"Center, Roma"
40,249,5,0,0,0,0,0,"Chapman, Dora"
41,,,0,0,0,0,0,Charis
42,,,0,0,0,0,0,"Christmann, Jenny"
43,,,0,0,0,0,0,"Clarke, Maree"
44,,,0,0,0,0,0,"Cleveland, Barbara"
45,,,0,0,0,0,0,Club Ate
46,,,0,0,0,0,0,"Cohn, Susan"
47,54,0,0,0,0,0,0,"Cohn, Ola"
48,1,0,0,0,0,0,0,"Contos, Sarah"
49,4,0,0,0,0,0,0,"Coppersmith, Yvette"
50,598,4,0,0,0,0,0,"Cossington Smith, Grace"
51,43,16,0,0,0,0,0,"Cotton, Olive"
52,2,0,0,0,0,0,0,"Croft, Brenda L."
53,37,1,0,0,0,0,0,"Crowley, Grace"
54,,,0,0,0,0,0,"Crozier, Cecily"
55,,,0,0,0,0,0,"Cullen, Philippa"
56,551,4,0,0,0,0,0,"Cumbrae Stewart, Janet"
57,141,3,0,0,0,0,0,"Cummings, Elisabeth"
58,15,0,0,0,0,0,0,"Cuppaidge, Virginia"
60,2,0,0,0,0,0,0,"Dangar, Anne"
61,213,8,0,0,0,0,0,"Davidson, Bessie"
62,16,0,0,0,0,0,0,"Davies, Isabel"
63,89,4,0,0,0,0,0,"Dawson, Janet"
64,19,3,0,0,0,0,0,"de Medici, eX"
65,27,0,0,0,0,0,0,"Deacon, Destiny"
66,27,0,0,0,0,0,0,"Deacon, Destiny & Fraser, Virginia"
67,3,0,0,0,0,0,0,"Debenham, Pam"
68,,,0,0,0,0,0,DI$COUNT UNIVER$E
69,7,0,0,0,0,0,0,"Dickens, Karla"
70,,,0,0,0,0,0,"Dobson, Rosemary"
71,,,0,0,0,0,0,"Dodd, Margaret"
72,,,0,0,0,0,0,"Donegan, Cheryl"
73,93,0,0,0,0,0,0,"Dowling, Julie"
74,,,0,0,0,0,0,"Draper, Lynda"
75,73,4,0,0,0,0,0,"Dumbrell, Lesley"
76,28,0,0,0,0,0,0,"Dwyer, Mikala"
77,99,1,0,0,0,0,0,"Dyring, Moya"
79,35,14,0,0,0,0,0,"Eager, Helen"
80,0,3,0,0,0,0,0,"Eaton, Janenne"
81,28,0,0,0,0,0,0,"Edwell, Bernice"
82,5,0,0,0,0,0,0,"Ely, Bonita"
83,2,0,0,0,0,0,0,"Englund, Patricia"
84,,,0,0,0,0,0,"Erickson, Dorothy"
86,7,0,0,0,0,0,0,"Fahd, Cherine"
87,,,0,0,0,0,0,"Featherston, Mary"
88,3,0,0,0,0,0,0,"Ferran, Anne"
89,6,0,0,0,0,0,0,"Ferrier, Tania"
90,,,0,0,0,0,0,"Fieldhouse, Janet"
91,,,0,0,0,0,0,Flamingo Park
92,8,0,0,0,0,0,0,"Floyd, Emily"
93,24,1,0,0,0,0,0,"Foley, Fiona"
94,9,2,0,0,0,0,0,"Ford, Sue"
95,,,0,0,0,0,0,"Foreshew, Nicole"
96,,,0,0,0,0,0,"Fraser, Virginia"
97,,,0,0,0,0,0,"Fullard, Corrie"
98,12,0,0,0,0,0,0,"Funaki, Mari"
100,139,8,0,0,0,0,0,"Gabori, Mirdidingkingathi Juwarnda Sally"
101,,,0,0,0,0,0,Garage Graphix
102,235,6,0,0,0,0,0,"Gascoigne, Rosalie"
103,29,0,0,0,0,0,0,"Gazzard, Marea"
104,13,2,0,0,0,0,0,"Georgetti, Diena"
105,8,0,0,0,0,0,0,"Gill, Simryn"
106,,,0,0,0,0,0,"Godden, Christine"
107,,,0,0,0,0,0,"Gojak, Mira"
