,Auction House,Value Sold,Number Sold,name_raw,,sold
0,Sotheby's,"$3,850",1,"Allan, Micky",,3850
1,"Mossgreen Auctions, Armadale VIC","$1,333",2,"Allan, Micky",,1333
2,"Leonard Joel, Prahran VIC","$1,014",3,"Allan, Micky",,114
3,"Shapiro Auctioneers, Woollahra NSW",$300,1,"Allan, Micky",,300
4,"Lawsons, Leichhardt NSW",$220,1,"Allan, Micky",,220
5,Christies,$218,1,"Allan, Micky",,218
6,"Lawson~Menzies (now trading as Menzies), South Yarra VIC",$204,6,"Allan, Micky",,204
7,Cromwell's Sydney,$46,1,"Allan, Micky",,46
0,"Deutscher and Hackett, South Yarra VIC","$76,893",15,"Apuatimi, Jean Baptiste (Pulukatu)",,76893
1,"Mossgreen Auctions, Armadale VIC","$33,206",4,"Apuatimi, Jean Baptiste (Pulukatu)",,33206
2,"Bonhams, Woollahra NSW","$23,469",4,"Apuatimi, Jean Baptiste (Pulukatu)",,23469
3,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$22,560",7,"Apuatimi, Jean Baptiste (Pulukatu)",,22560
4,"Shapiro Auctioneers, Woollahra NSW","$21,420",9,"Apuatimi, Jean Baptiste (Pulukatu)",,21420
5,Joel Fine Art,"$8,601",2,"Apuatimi, Jean Baptiste (Pulukatu)",,8601
6,Sotheby's,"$4,560",1,"Apuatimi, Jean Baptiste (Pulukatu)",,4560
7,Christies,"$3,585",1,"Apuatimi, Jean Baptiste (Pulukatu)",,3585
8,"Leonard Joel, Prahran VIC","$3,396",2,"Apuatimi, Jean Baptiste (Pulukatu)",,3396
9,"Theodore Bruce Auctions, Stanmore NSW","$2,400",1,"Apuatimi, Jean Baptiste (Pulukatu)",,2400
10,Bonhams & Goodman,"$2,160",1,"Apuatimi, Jean Baptiste (Pulukatu)",,2160
11,"Lawsons, Leichhardt NSW","$1,964",1,"Apuatimi, Jean Baptiste (Pulukatu)",,1964
12,"Davidson Auctions, Annandale NSW",$885,1,"Apuatimi, Jean Baptiste (Pulukatu)",,885
13,"McKenzies Auctioneers, Claremont WA",$719,1,"Apuatimi, Jean Baptiste (Pulukatu)",,719
0,"Deutscher and Hackett, South Yarra VIC","$1,015,543",20,"Audette, Yvonne",,115543
1,Sotheby's,"$965,750",27,"Audette, Yvonne",,965750
2,Deutscher~Menzies,"$188,259",12,"Audette, Yvonne",,188259
3,"Mossgreen Auctions, Armadale VIC","$128,896",9,"Audette, Yvonne",,128896
4,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$112,152",11,"Audette, Yvonne",,112152
5,"Smith & Singer, Vic","$109,227",2,"Audette, Yvonne",,109227
6,"Menzies, Kensington NSW","$65,045",7,"Audette, Yvonne",,6545
7,Bonhams & Goodman,"$57,685",3,"Audette, Yvonne",,57685
8,"Shapiro Auctioneers, Woollahra NSW","$56,810",8,"Audette, Yvonne",,56810
9,Joel Fine Art,"$53,062",2,"Audette, Yvonne",,5362
10,"Leonard Joel, Prahran VIC","$50,447",18,"Audette, Yvonne",,50447
11,Christies,"$42,300",4,"Audette, Yvonne",,42300
12,Artemis Auctions,"$28,800",1,"Audette, Yvonne",,28800
13,"Davidson Auctions, Annandale NSW","$11,594",4,"Audette, Yvonne",,11594
14,"Bonhams, Woollahra NSW","$4,674",1,"Audette, Yvonne",,4674
15,"Lawsons, Leichhardt NSW","$2,692",4,"Audette, Yvonne",,2692
16,Mason Gray,"$2,400",1,"Audette, Yvonne",,2400
17,"Gibson's Auctioneers & Valuers, Armadale Vic","$1,464",1,"Audette, Yvonne",,1464
18,"Geoff K. Gray, Homebush NSW",$880,6,"Audette, Yvonne",,880
19,Aust. Art Auctions,$358,1,"Audette, Yvonne",,358
20,"William S. Ellenden, Sydney",$70,1,"Audette, Yvonne",,70
0,"Leonard Joel, Prahran VIC","$280,349",235,"Bale, Alice Marian Ellen",,280349
1,Deutscher~Menzies,"$43,644",11,"Bale, Alice Marian Ellen",,43644
2,Sotheby's,"$36,984",7,"Bale, Alice Marian Ellen",,36984
3,Bonhams & Goodman,"$36,000",1,"Bale, Alice Marian Ellen",,360
4,"Menzies, Kensington NSW","$19,636",4,"Bale, Alice Marian Ellen",,19636
5,Christies,"$13,930",14,"Bale, Alice Marian Ellen",,13930
6,"Gibson's Auctioneers & Valuers, Armadale Vic","$13,444",4,"Bale, Alice Marian Ellen",,13444
7,"Lawson~Menzies (now trading as Menzies), South Yarra VIC","$9,736",2,"Bale, Alice Marian Ellen",,9736
8,"Geoff K. Gray, Homebush NSW","$9,650",2,"Bale, Alice Marian Ellen",,9650
9,"Lawsons, Leichhardt NSW","$9,102",11,"Bale, Alice Marian Ellen",,9102
10,"Mossgreen Auctions, Armadale VIC","$5,091",2,"Bale, Alice Marian Ellen",,591
11,"GFL Fine Art, Nedlands WA","$3,520",2,"Bale, Alice Marian Ellen",,3520
12,"Elder Fine Art, North Adelaide SA","$3,480",1,"Bale, Alice Marian Ellen",,3480
13,"Theodore Bruce Auctions, Stanmore NSW","$3,360",1,"Bale, Alice Marian Ellen",,3360
14,Joel Fine Art,"$2,374",1,"Bale, Alice Marian Ellen",,2374
15,"Amanda Addams Auctions, Kew VIC","$2,319",2,"Bale, Alice Marian Ellen",,2319
16,Mason Gray,"$2,250",1,"Bale, Alice Marian Ellen",,2250
17,Goodmans Auctioneers,"$1,290",2,"Bale, Alice Marian Ellen",,1290
18,"Davidson Auctions, Annandale NSW",$900,1,"Bale, Alice Marian Ellen",,900
19,Badgery's Auctioneers,$815,1,"Bale, Alice Marian Ellen",,815
